Ano,Física[18],Química[19],Fisiologiaou Medicina[20],Literatura[21],Paz[22],Economia (Prêmio Sveriges Riksbank)[23]
1991,Pierre-Gilles de Gennes,Richard R. Ernst,Erwin Neher;Bert Sakmann,Nadine Gordimer,Aung San Suu Kyi,Ronald Coase
1992,Georges Charpak,Rudolph A. Marcus,Edmond H. Fischer;Edwin G. Krebs,Derek Walcott,Rigoberta Menchú,Gary Becker
1993,Russell Alan Hulse;Joseph Hooton Taylor,Kary Mullis;Michael Smith,Richard J. Roberts;Phillip Allen Sharp,Toni Morrison,Nelson Mandela;F. W. de Klerk,Robert Fogel;Douglass North
1994,Bertram Brockhouse;Clifford Shull,George Andrew Olah,Alfred G. Gilman;Martin Rodbell,Kenzaburō Ōe,Yasser Arafat;Shimon Peres;Yitzhak Rabin,John Harsanyi;John Forbes Nash;Reinhard Selten
1995,Martin Lewis Perl;Frederick Reines,Paul J. Crutzen;Mario J. Molina;Frank Sherwood Rowland,Edward B. Lewis;Christiane Nüsslein-Volhard;Eric F. Wieschaus,Seamus Heaney,Joseph Rotblat;Conferências Pugwash sobre Ciência e Negócios Mundiais,"Robert Lucas, Jr."
1996,David Morris Lee;Douglas Osheroff;Robert Coleman Richardson,Robert F. Curl Jr.;Harold Kroto;Richard Smalley,Peter C. Doherty;Rolf M. Zinkernagel,Wisława Szymborska,Carlos Filipe Ximenes Belo;José Ramos-Horta,James Mirrlees;William Vickrey
1997,Steven Chu;Claude Cohen-Tannoudji;William Daniel Phillips,Paul D. Boyer;John E. Walker;Jens Christian Skou,Stanley B. Prusiner,Dario Fo,Campanha Internacional para a Eliminação de Minas;Jody Williams,Robert C. Merton;Myron Scholes
1998,Robert B. Laughlin;Horst Ludwig Störmer;Daniel C. Tsui,Walter Kohn;John Pople,Robert F. Furchgott;Louis Ignarro;Ferid Murad,José Saramago,John Hume;David Trimble,Amartya Sen
1999,Gerard 't Hooft;Martinus J. G. Veltman,Ahmed Zewail,Günter Blobel,Günter Grass,Médicos sem Fronteiras,Robert Mundell
2000,Zhores Alferov;Herbert Kroemer;Jack Kilby,Alan J. Heeger;Alan MacDiarmid;Hideki Shirakawa,Arvid Carlsson;Paul Greengard;Eric Kandel,Gao Xingjian,Kim Dae-jung,James Heckman;Daniel McFadden
2001,Eric Allin Cornell;Wolfgang Ketterle;Carl Wieman,William Standish Knowles;Ryōji Noyori;Barry Sharpless,Leland H. Hartwell;Tim Hunt;Paul Nurse,V. S. Naipaul,Organização das Nações Unidas;Kofi Annan,George Akerlof;Michael Spence;Joseph Stiglitz
2002,Raymond Davis Jr.;Masatoshi Koshiba;Riccardo Giacconi,John Fenn;Koichi Tanaka;Kurt Wüthrich,Sydney Brenner;H. Robert Horvitz;John Sulston,Imre Kertész,Jimmy Carter,Daniel Kahneman;Vernon L. Smith
2003,Alexei Alexeevich Abrikosov;Vitaly Ginzburg;Anthony James Leggett,Peter Agre;Roderick MacKinnon,Paul Lauterbur;Peter Mansfield,J. M. Coetzee,Shirin Ebadi,Robert F. Engle;Clive Granger
2004,David Gross;Hugh David Politzer;Frank Wilczek,Aaron Ciechanover;Avram Hershko;Irwin Rose,Richard Axel;Linda B. Buck,Elfriede Jelinek,Wangari Maathai,Finn E. Kydland;Edward Prescott
2005,Roy J. Glauber;John L. Hall;Theodor W. Hänsch,Yves Chauvin;Robert H. Grubbs;Richard R. Schrock,Barry Marshall;Robin Warren,Harold Pinter,Agência Internacional de Energia Atómica;Mohamed ElBaradei,Robert Aumann;Thomas Schelling
2006,John C. Mather;George Smoot,Roger D. Kornberg,Andrew Fire;Craig Mello,Orhan Pamuk,Muhammad Yunus;Grameen Bank,Edmund Phelps
2007,Albert Fert;Peter Grünberg,Gerhard Ertl,Mario Capecchi;Martin Evans;Oliver Smithies,Doris Lessing,Painel Intergovernamental sobre Mudanças Climáticas;Al Gore,Leonid Hurwicz;Eric Maskin;Roger Myerson
2008,Yoichiro Nambu;Makoto Kobayashi;Toshihide Maskawa,Osamu Shimomura;Martin Chalfie;Roger Y. Tsien,Harald zur Hausen;Françoise Barré-Sinoussi;Luc Montagnier,J. M. G. Le Clézio,Martti Ahtisaari,Paul Krugman
2009,Charles K. Kao;Willard S. Boyle;George E. Smith,Venkatraman Ramakrishnan;Thomas A. Steitz;Ada Yonath,Elizabeth Blackburn;Carol W. Greider;Jack W. Szostak,Herta Müller,Barack Obama,Elinor Ostrom;Oliver E. Williamson
2010,Andre Geim;Konstantin Novoselov,Richard F. Heck;Ei-ichi Negishi;Akira Suzuki,Robert G. Edwards,Mario Vargas Llosa,Liu Xiaobo[F],Peter A. Diamond;Dale Mortensen;Christopher Pissarides
